"scientific_name","common_name","state_code","designation","source","source_url"
"Juniperus virginiana","eastern redcedar","WI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2259"
"Juniperus virginiana","eastern redcedar","OR","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2259"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","MI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","CT","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","FL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","KY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","MD","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","OR","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","NH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","OH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","WA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","ID","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","DE","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","NJ","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","NY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","PA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","VA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","WV","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","DC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","SC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","TN","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Paulownia tomentosa  (Thunb.)","princesstree","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","PA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","CT","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
